Application_ID,Companies,Job_Title,Educational Degree,Location,Experience_Years,Number of Skills,Source of Application,Application_Received,Last_Updated,Salary,Applicant Selected
APP1000704,Adobe,Frontend Developer,B.Tech,Ahmedabad,3,4,Company Website,2025-02-28 03:15:09,2025-03-29 17:05:50,1346000,0
APP1000068,TCS,Data Analyst,B.Tech,Bangalore,4,6,LinkedIn,2025-03-04 00:41:52,2025-03-23 00:13:56,1043000,1
APP1000596,Amazon,Data Scientist,PhD,Delhi NCR,5,5,Company Website,2024-01-22 19:40:47,2024-03-10 06:53:43,1903000,1
APP1001270,Paytm,Financial Analyst,M.Com,Ahmedabad,10,2,LinkedIn,2024-07-16 19:15:07,2024-08-23 11:47:06,1366000,1
APP1001039,Deloitte,Chartered Accountant,Chartered Accountant,Delhi NCR,7,3,Naukri,2024-06-11 19:17:42,2024-09-07 02:29:06,1543000,0
APP1001121,Byju's,Web Developer,B.Tech,Hyderabad,5,4,Employee Referral,2024-02-23 10:26:07,2024-03-05 13:20:40,914000,1
APP1001073,HealthTechY,Data Scientist,B.Tech,Bangalore,8,6,Employee Referral,2024-11-15 10:40:34,2024-12-28 20:43:47,1309000,1
APP1000275,Google,ML Engineer,M.Tech,Hyderabad,7,4,Naukri,2025-05-27 07:07:37,2025-05-31 22:44:42,1797000,0
APP1001024,Google,Data Scientist,B.Tech,Ahmedabad,5,5,Indeed,2024-12-03 22:01:43,2025-01-30 01:11:18,1673000,0
APP1000802,Paytm,Software Developer,B.Tech,Jaipur,4,2,Naukri,2024-03-18 16:01:30,2024-05-21 18:37:34,1069000,0
APP1001028,HCL,Backend Engineer,B.Tech,Delhi NCR,4,3,Job Fair,2025-07-04 22:56:18,2025-08-24 11:03:53,1114000,1
APP1000978,Microsoft,Data Scientist,B.Tech,Chandigarh,5,3,Company Website,2025-02-11 09:17:47,2025-05-03 21:38:42,1603000,0
APP1000628,Amazon,Software Developer,M.Tech,Ahmedabad,3,5,Employee Referral,2024-10-25 07:23:43,2025-01-12 22:28:58,1590000,1
APP1001273,Byju's,Sales Executive,MBA,Jaipur,4,3,Naukri,2024-02-20 00:34:48,2024-04-11 03:56:00,922000,1
APP1000292,Microsoft,Software Developer,B.Tech,Mumbai,5,5,Indeed,2024-12-24 04:33:20,2025-01-13 18:08:58,1478000,0
APP1000805,Deloitte,Financial Analyst,MBA,Chandigarh,10,5,LinkedIn,2024-11-21 17:48:02,2024-12-20 17:59:00,1498000,1
APP1000185,Amazon,Data Scientist,M.Tech,Ahmedabad,1,4,Naukri,2024-09-18 13:26:25,2024-11-18 13:00:02,1602000,1
APP1000072,Infosys,Software Developer,M.Tech,Pune,6,2,Company Website,2025-03-31 09:54:51,2025-05-11 21:24:47,1358000,0
APP1001367,Deloitte,Financial Analyst,MBA,Pune,7,4,Indeed,2024-02-28 20:04:54,2024-03-17 16:56:41,1366000,1
APP1000340,Byju's,Sales Executive,MBA,Delhi NCR,10,2,Employee Referral,2024-02-18 07:56:14,2024-03-19 10:36:06,1116000,1
APP1000497,Google,ML Engineer,M.Tech,Jaipur,4,2,Naukri,2024-07-05 22:36:35,2024-07-14 18:30:42,1675000,0
APP1000965,Swiggy,Backend Engineer,B.Tech,Hyderabad,6,4,Company Website,2025-02-22 02:27:51,2025-04-26 08:05:43,1221000,1
APP1000884,Amazon,Software Developer,B.Tech,Chennai,5,2,Employee Referral,2025-02-13 23:33:07,2025-05-11 23:33:56,1447000,0
APP1001206,Microsoft,Software Developer,M.Tech,Mumbai,5,2,LinkedIn,2024-02-27 13:41:50,2024-03-06 10:41:34,1551000,0
APP1000285,Byju's,Sales Executive,MBA,Lucknow,2,5,LinkedIn,2024-12-26 14:52:26,2025-02-18 21:05:53,839000,1
APP1001469,Flipkart,Backend Engineer,MCA,Hyderabad,0,2,LinkedIn,2025-04-23 18:05:18,2025-05-22 22:18:10,1084000,0
APP1000408,Zomato,Backend Engineer,B.Tech,Pune,2,2,LinkedIn,2025-07-06 20:47:02,2025-07-19 16:14:56,998000,0
APP1001107,Cognizant,Software Developer,M.Tech,Kolkata,4,2,Employee Referral,2024-01-29 10:26:57,2024-03-13 07:52:32,1212000,0
APP1001166,Amazon,Data Scientist,PhD,Jaipur,7,5,Company Website,2024-10-29 05:44:51,2025-01-13 22:49:45,2042000,1
APP1000444,Swiggy,Backend Engineer,M.Tech,Chandigarh,2,4,Company Website,2025-08-17 07:43:46,2025-09-04 07:02:47,1243000,1
APP1001238,Reliance Jio,Software Developer,B.Tech,Chennai,5,6,LinkedIn,2024-04-25 15:43:55,2024-07-08 22:15:12,1178000,1
APP1000300,Reliance Jio,Software Developer,B.Tech,Jaipur,4,5,Employee Referral,2025-01-07 12:21:33,2025-02-01 20:14:40,1115000,1
APP1000986,StartUpX,Software Developer,B.Tech,Jaipur,6,4,Job Fair,2024-05-12 11:46:42,2024-06-22 20:15:37,1051000,1
APP1000524,HealthTechY,Backend Engineer,MCA,Hyderabad,6,5,Company Website,2024-04-26 11:56:04,2024-04-30 18:53:02,1248000,1
APP1001327,Amazon,Data Scientist,M.Tech,Delhi NCR,2,5,LinkedIn,2024-02-20 05:13:59,2024-04-24 05:55:09,1646000,0
APP1000679,Deloitte,Business Analyst,B.Tech,Lucknow,8,6,LinkedIn,2024-03-18 05:03:26,2024-04-29 15:14:07,1216000,1
APP1000390,Google,Software Developer,B.Tech,Kolkata,6,5,Employee Referral,2025-07-20 04:04:10,2025-09-01 10:39:30,1468000,1
APP1001374,Flipkart,Software Developer,B.Tech,Bangalore,10,5,LinkedIn,2025-06-09 14:23:37,2025-07-08 13:39:19,1420000,1
APP1000353,TCS,Software Developer,B.Tech,Jaipur,5,2,Company Website,2025-03-17 06:45:20,2025-04-04 16:21:22,1164000,0
APP1000918,Paytm,Backend Engineer,B.Tech,Lucknow,8,3,Naukri,2024-05-19 04:22:44,2024-06-25 06:25:21,1273000,0
APP1000448,HealthTechY,Software Developer,B.Tech,Mumbai,5,3,Company Website,2025-09-04 18:24:17,2025-09-10 11:59:26,956000,1
APP1000818,Accenture,Business Analyst,B.Tech,Hyderabad,6,4,Naukri,2024-03-19 22:35:32,2024-04-19 18:57:37,1160000,1
APP1000078,Infosys,Software Developer,B.Tech,Mumbai,9,2,Naukri,2024-09-26 15:32:13,2024-10-07 10:11:33,1244000,0
APP1001477,Microsoft,Backend Engineer,B.Tech,Lucknow,6,5,Naukri,2024-05-18 19:08:25,2024-08-14 15:06:58,1504000,1
APP1001449,Tech Mahindra,Backend Engineer,B.Tech,Bangalore,5,6,Indeed,2024-01-23 06:07:06,2024-04-18 04:45:25,1181000,1
APP1000648,Tech Mahindra,Backend Engineer,M.Tech,Pune,8,6,Employee Referral,2024-05-19 15:58:05,2024-06-02 09:39:26,1516000,1
APP1000350,Google,Software Developer,M.Tech,Kolkata,5,3,Employee Referral,2025-06-10 23:57:38,2025-08-08 09:15:09,1597000,0
APP1000964,Flipkart,Backend Engineer,B.Tech,Pune,6,2,Indeed,2024-10-21 09:04:10,2025-01-16 23:28:24,1215000,0
APP1001108,HealthTechY,Data Scientist,M.Tech,Ahmedabad,5,4,Naukri,2025-02-02 20:34:15,2025-03-25 17:58:08,1354000,1
APP1000559,Microsoft,Backend Engineer,B.Tech,Lucknow,2,5,LinkedIn,2024-08-31 15:11:14,2024-11-27 01:33:11,1417000,0
APP1001263,Byju's,Sales Executive,MBA,Hyderabad,0,5,Naukri,2024-09-29 21:27:21,2024-11-20 06:43:46,785000,1
APP1000682,Swiggy,Backend Engineer,MCA,Chandigarh,5,5,Employee Referral,2024-11-29 22:19:11,2024-12-17 22:37:03,1266000,1
APP1001004,Flipkart,Backend Engineer,B.Tech,Ahmedabad,4,2,Naukri,2024-12-14 15:36:34,2025-03-13 13:41:19,1156000,0
APP1000737,Accenture,Software Developer,B.Tech,Chandigarh,4,2,Naukri,2024-04-13 03:17:38,2024-07-07 22:32:09,1134000,0
APP1000397,Byju's,Sales Executive,B.Com,Chennai,6,4,Naukri,2024-12-09 16:48:31,2025-01-27 15:24:40,813000,1
APP1000423,Google,ML Engineer,B.Tech,Kolkata,7,5,Indeed,2024-01-09 11:09:02,2024-01-19 10:57:38,1677000,1
APP1001025,Reliance Jio,Software Developer,B.Tech,Delhi NCR,4,5,Naukri,2024-03-21 22:55:51,2024-05-14 13:01:10,1125000,1
APP1000462,StartUpX,Software Developer,B.Tech,Chandigarh,5,4,LinkedIn,2024-08-12 22:33:46,2024-09-15 15:50:40,974000,1
APP1000044,Google,ML Engineer,M.Tech,Delhi NCR,10,6,Naukri,2024-12-15 16:40:03,2025-01-21 16:01:09,2024000,0
APP1000595,Google,Software Developer,M.Tech,Lucknow,9,2,LinkedIn,2024-05-16 07:52:30,2024-07-31 17:23:53,1706000,0
APP1001042,Byju's,Sales Executive,MBA,Kolkata,7,5,Job Fair,2024-03-02 12:43:35,2024-04-23 02:02:11,1065000,1
APP1000281,Ola,Data Scientist,M.Tech,Hyderabad,7,6,Naukri,2024-01-14 02:41:24,2024-03-23 07:55:55,1520000,1
APP1000193,Flipkart,Software Developer,M.Tech,Chandigarh,5,4,LinkedIn,2025-07-18 20:08:25,2025-08-26 06:12:39,1328000,1
APP1001325,Swiggy,Backend Engineer,B.Tech,Kolkata,5,2,Naukri,2025-04-23 15:52:03,2025-06-16 19:08:40,1145000,0
APP1000266,Byju's,Sales Executive,MBA,Bangalore,6,5,Naukri,2024-07-09 23:04:49,2024-08-22 05:44:26,1049000,1
APP1001341,Zomato,Backend Engineer,B.Tech,Hyderabad,7,4,Naukri,2025-01-28 21:44:18,2025-04-13 03:22:27,1243000,1
APP1001371,Flipkart,Software Developer,B.Tech,Jaipur,0,3,Employee Referral,2024-08-01 01:53:58,2024-10-27 18:00:00,947000,1
APP1001084,HealthTechY,Backend Engineer,B.Tech,Chennai,10,3,LinkedIn,2024-06-07 03:19:05,2024-07-13 23:13:23,1196000,1
APP1000915,Deloitte,Financial Analyst,B.Com,Mumbai,2,6,Job Fair,2024-09-26 12:08:11,2024-10-30 22:45:47,1007000,0
APP1001354,Amazon,Software Developer,B.Tech,Delhi NCR,5,3,Naukri,2025-04-22 18:59:16,2025-05-27 11:42:11,1467000,0
APP1001221,TCS,Data Analyst,MCA,Jaipur,4,4,Employee Referral,2025-07-06 09:57:19,2025-09-03 06:09:01,1070000,1
APP1001229,Tech Mahindra,Software Developer,B.Tech,Pune,4,6,LinkedIn,2025-05-17 22:06:02,2025-07-30 00:06:11,1127000,1
APP1000156,Byju's,Sales Executive,MBA,Chandigarh,4,6,LinkedIn,2025-02-15 03:08:09,2025-03-27 08:45:11,963000,1
APP1000127,HealthTechY,Data Scientist,PhD,Kolkata,6,2,Employee Referral,2024-09-23 02:58:27,2024-10-09 13:16:32,1482000,1
APP1001303,Reliance Jio,Software Developer,MCA,Hyderabad,6,2,Naukri,2024-01-03 15:50:10,2024-01-22 02:00:44,1294000,0
APP1001465,Amazon,Software Developer,B.Tech,Jaipur,5,6,LinkedIn,2025-04-22 00:56:34,2025-06-01 04:01:42,1460000,0
APP1000323,TCS,Data Analyst,B.Tech,Jaipur,4,2,Indeed,2024-01-12 11:15:27,2024-02-10 08:11:14,955000,0
APP1001250,Capgemini,Data Analyst,BCA,Jaipur,4,6,Job Fair,2024-10-17 05:03:14,2024-12-22 15:46:15,972000,1
APP1000488,Wipro,Backend Engineer,B.Tech,Lucknow,4,3,LinkedIn,2024-03-22 22:27:26,2024-05-07 03:15:33,1139000,0
APP1000977,Accenture,Business Analyst,B.Tech,Bangalore,1,2,Company Website,2024-10-21 00:59:28,2024-10-28 07:58:25,956000,0
APP1000950,Microsoft,Backend Engineer,B.Tech,Chandigarh,5,2,LinkedIn,2025-08-16 04:02:03,2025-09-10 11:59:26,1471000,0
APP1001112,Zomato,Backend Engineer,M.Tech,Hyderabad,1,6,Naukri,2025-05-24 16:47:55,2025-07-18 06:03:24,1182000,0
APP1000574,Wipro,Software Developer,MCA,Mumbai,8,4,LinkedIn,2025-03-30 15:40:29,2025-06-16 05:07:39,1434000,1
APP1001218,Flipkart,Backend Engineer,MCA,Chandigarh,3,5,Company Website,2024-01-29 02:50:50,2024-04-20 20:39:53,1194000,1
APP1001014,Amazon,Software Developer,MCA,Hyderabad,6,6,Naukri,2025-01-19 14:07:54,2025-04-15 14:50:39,1663000,1
APP1001338,HCL,Data Analyst,MCA,Chandigarh,6,2,LinkedIn,2024-05-04 07:22:21,2024-07-18 06:33:05,1103000,0
APP1000492,Byju's,Sales Executive,B.Com,Lucknow,3,4,Employee Referral,2025-03-24 15:45:27,2025-04-23 21:48:15,650000,1
APP1000443,Adobe,Software Developer,MCA,Ahmedabad,8,2,Employee Referral,2024-10-24 06:15:53,2025-01-06 15:46:31,1673000,0
APP1000814,Swiggy,Software Developer,M.Tech,Chennai,4,2,LinkedIn,2024-05-27 16:30:54,2024-07-30 16:00:28,1235000,0
APP1000119,Cognizant,Web Developer,B.Tech,Ahmedabad,6,3,Company Website,2024-06-08 11:00:32,2024-07-14 19:58:49,1153000,0
APP1000267,Google,ML Engineer,M.Tech,Mumbai,5,2,Company Website,2024-08-31 19:41:39,2024-09-24 04:26:55,1721000,0
APP1001065,StartUpX,Frontend Developer,MCA,Jaipur,7,3,Company Website,2024-12-22 04:15:48,2025-01-16 09:32:40,1146000,1
APP1000901,Adobe,Software Developer,MCA,Pune,8,6,Naukri,2024-05-01 18:26:58,2024-05-23 13:32:35,1685000,1
APP1000465,Byju's,Sales Executive,B.Com,Pune,3,2,Employee Referral,2024-02-20 19:12:08,2024-03-12 20:53:14,686000,1
APP1000383,Infosys,Software Developer,B.Tech,Delhi NCR,4,5,Company Website,2024-06-15 15:18:09,2024-08-20 16:50:47,1109000,1
APP1001463,Amazon,Backend Engineer,B.Tech,Mumbai,5,2,LinkedIn,2025-01-10 03:15:57,2025-03-29 14:07:58,1441000,0
APP1000311,Microsoft,Data Scientist,B.Tech,Lucknow,5,2,LinkedIn,2024-02-18 01:51:00,2024-05-13 21:26:06,1583000,0
APP1000590,Accenture,Software Developer,MCA,Lucknow,8,3,Naukri,2024-09-29 03:52:28,2024-11-18 13:01:59,1430000,0
APP1000256,Capgemini,Software Developer,MCA,Pune,9,5,LinkedIn,2024-10-07 15:40:55,2024-11-27 00:21:49,1434000,1
APP1000649,Wipro,Software Developer,M.Tech,Chennai,6,4,Naukri,2024-04-14 17:38:15,2024-05-04 16:27:19,1332000,1
APP1001044,Flipkart,Software Developer,B.Tech,Bangalore,2,4,Company Website,2025-06-24 05:16:45,2025-08-12 00:59:50,1002000,0
APP1000386,Swiggy,Backend Engineer,MCA,Chennai,8,6,Employee Referral,2025-03-09 20:34:00,2025-05-29 19:35:10,1474000,1
APP1000393,Adobe,Frontend Developer,BCA,Delhi NCR,4,6,Employee Referral,2025-04-26 19:29:45,2025-05-25 18:44:28,1398000,0
APP1000394,Accenture,Business Analyst,B.Tech,Hyderabad,4,3,Company Website,2025-07-12 20:44:51,2025-08-29 02:42:44,1042000,0
APP1000773,Flipkart,Software Developer,B.Tech,Kolkata,4,4,Employee Referral,2025-05-24 14:22:46,2025-08-04 10:51:37,1144000,1
APP1000958,Tech Mahindra,Software Developer,MCA,Mumbai,4,5,LinkedIn,2025-03-10 15:30:54,2025-05-26 11:38:49,1219000,1
APP1000829,Reliance Jio,Backend Engineer,MCA,Chennai,5,6,Naukri,2024-12-07 04:47:27,2025-02-15 13:33:45,1329000,1
APP1000718,Tech Mahindra,Software Developer,B.Tech,Delhi NCR,2,5,Employee Referral,2025-06-26 08:16:40,2025-08-28 12:23:16,1043000,0
APP1000291,Adobe,Frontend Developer,B.Tech,Delhi NCR,0,6,LinkedIn,2025-05-12 05:11:11,2025-06-13 12:01:47,1227000,0
APP1001170,Tech Mahindra,Software Developer,MCA,Kolkata,8,6,Naukri,2025-04-02 10:40:37,2025-06-27 21:27:46,1392000,1
APP1000096,Google,Software Developer,B.Tech,Chennai,5,4,Employee Referral,2024-03-11 23:13:15,2024-05-31 01:35:58,1412000,0
APP1000855,Capgemini,Software Developer,M.Tech,Bangalore,5,3,Naukri,2025-03-07 15:18:49,2025-05-25 23:29:32,1301000,0
APP1000757,Google,Software Developer,MCA,Ahmedabad,6,5,Company Website,2024-03-19 04:58:10,2024-05-23 15:22:07,1680000,1
APP1000196,Adobe,Software Developer,M.Tech,Ahmedabad,8,2,LinkedIn,2024-11-30 09:10:18,2025-02-12 09:32:05,1731000,0
APP1000835,Zomato,Backend Engineer,M.Tech,Chennai,4,3,Naukri,2025-07-29 07:39:43,2025-09-10 11:59:26,1228000,0
APP1000112,Microsoft,Data Scientist,B.Tech,Jaipur,2,5,Company Website,2024-04-15 13:20:19,2024-06-03 06:37:56,1522000,0
APP1000365,Paytm,Software Developer,B.Tech,Chennai,6,2,Naukri,2024-05-27 23:47:04,2024-07-15 17:40:49,1144000,0
APP1001440,Tech Mahindra,Data Analyst,B.Tech,Kolkata,7,6,LinkedIn,2024-05-09 15:20:21,2024-07-06 16:21:26,1161000,1
APP1000972,Byju's,Web Developer,BCA,Bangalore,5,3,LinkedIn,2025-08-30 03:39:08,2025-09-10 11:59:26,926000,1
APP1000224,Reliance Jio,Software Developer,MCA,Ahmedabad,5,2,Employee Referral,2025-03-12 21:28:20,2025-05-13 02:33:17,1260000,0
APP1001309,HCL,Software Developer,B.Tech,Pune,5,6,Employee Referral,2024-03-09 06:34:58,2024-04-17 00:10:26,1171000,1
APP1000259,Google,ML Engineer,M.Tech,Ahmedabad,8,4,Naukri,2025-08-01 13:43:09,2025-09-10 11:59:26,1868000,1
APP1000647,Paytm,Software Developer,B.Tech,Kolkata,10,2,Company Website,2024-02-04 22:10:05,2024-02-13 07:00:22,1284000,0
APP1000666,Byju's,Sales Executive,B.Com,Chennai,5,5,Indeed,2025-06-14 19:16:01,2025-06-16 20:46:49,735000,1
APP1000882,Zomato,Backend Engineer,B.Tech,Pune,3,6,Company Website,2025-04-24 16:44:12,2025-06-02 22:42:53,1163000,0
APP1001401,Paytm,Backend Engineer,B.Tech,Mumbai,5,5,Company Website,2025-06-27 14:51:28,2025-09-10 11:59:26,1218000,1
APP1000629,Accenture,Data Analyst,B.Tech,Mumbai,4,3,Indeed,2025-08-20 00:16:18,2025-08-23 20:48:49,959000,0
APP1001351,Byju's,Sales Executive,B.Com,Ahmedabad,4,4,Naukri,2025-01-10 07:29:18,2025-01-31 10:33:16,742000,1
APP1000471,Ola,Backend Engineer,B.Tech,Ahmedabad,5,5,LinkedIn,2024-08-22 03:06:58,2024-10-31 21:18:36,1160000,1
APP1000027,Paytm,Backend Engineer,B.Tech,Hyderabad,4,5,Naukri,2025-06-07 02:07:13,2025-06-21 15:18:20,1149000,1
APP1000162,StartUpX,Software Developer,B.Tech,Bangalore,4,4,LinkedIn,2025-04-04 12:20:25,2025-06-30 08:03:53,1013000,1
APP1000161,Adobe,Software Developer,B.Tech,Chandigarh,5,3,LinkedIn,2024-12-01 15:26:27,2024-12-12 05:15:47,1445000,0
APP1000257,Ola,Software Developer,B.Tech,Lucknow,7,6,Naukri,2025-02-23 00:35:22,2025-05-04 06:04:44,1279000,1
APP1000823,Capgemini,Software Developer,B.Tech,Jaipur,4,5,Company Website,2024-09-19 14:43:06,2024-10-17 18:38:43,1100000,1
APP1001317,StartUpX,Backend Engineer,B.Tech,Hyderabad,7,4,LinkedIn,2024-06-25 15:00:45,2024-08-29 23:25:24,1155000,1
APP1001353,Amazon,Backend Engineer,B.Tech,Ahmedabad,4,5,Company Website,2024-01-28 01:56:24,2024-04-23 14:26:25,1485000,0
APP1001061,Cognizant,Web Developer,B.Tech,Jaipur,9,3,Company Website,2025-05-04 12:41:26,2025-06-30 08:06:42,1292000,0
APP1000396,Zomato,Backend Engineer,B.Tech,Chandigarh,2,5,Employee Referral,2025-02-25 03:44:27,2025-03-27 22:49:28,1056000,0
APP1000147,Microsoft,Data Scientist,M.Tech,Chandigarh,9,5,Company Website,2024-12-10 02:28:48,2025-01-27 06:21:20,1919000,1
APP1000489,Infosys,Software Developer,B.Tech,Hyderabad,7,5,Company Website,2025-02-15 22:37:31,2025-04-06 12:19:32,1216000,0
APP1000081,Capgemini,Software Developer,M.Tech,Bangalore,3,6,Company Website,2024-12-01 07:52:19,2025-01-19 06:08:18,1246000,1
APP1000239,Reliance Jio,Sales Executive,B.Com,Lucknow,7,2,Naukri,2025-05-11 19:45:36,2025-06-27 06:10:37,995000,0
APP1001224,Deloitte,Chartered Accountant,Chartered Accountant,Mumbai,4,4,Employee Referral,2025-01-30 22:40:00,2025-02-19 14:00:36,1427000,0
APP1001328,Reliance Jio,Backend Engineer,B.Tech,Bangalore,8,3,Indeed,2024-01-14 14:56:22,2024-02-03 20:58:52,1302000,0
APP1000523,Paytm,Backend Engineer,MCA,Chandigarh,6,6,Naukri,2024-10-14 15:29:42,2024-12-26 21:47:47,1364000,1
APP1001424,TCS,Software Developer,B.Tech,Kolkata,0,6,LinkedIn,2024-01-24 03:54:44,2024-03-18 17:45:47,986000,0
APP1000206,Microsoft,Backend Engineer,MCA,Hyderabad,4,4,LinkedIn,2024-09-03 18:45:44,2024-10-18 02:43:27,1558000,1
APP1000309,Infosys,Web Developer,BCA,Ahmedabad,3,3,Naukri,2024-08-21 13:47:34,2024-10-12 10:36:03,916000,0
APP1001472,Adobe,Frontend Developer,B.Tech,Mumbai,6,6,Naukri,2025-05-21 17:55:22,2025-05-23 10:30:54,1554000,1
APP1000615,Cognizant,Web Developer,B.Tech,Kolkata,8,3,Naukri,2025-03-05 12:20:37,2025-03-08 23:27:03,1259000,0
APP1000223,Accenture,Software Developer,B.Tech,Chennai,4,3,LinkedIn,2024-06-02 11:38:43,2024-08-24 17:51:19,1096000,0
APP1000506,HealthTechY,Software Developer,B.Tech,Delhi NCR,7,4,Naukri,2024-12-05 13:13:52,2025-01-27 11:59:38,1040000,1
APP1000711,Reliance Jio,Software Developer,M.Tech,Chandigarh,8,4,Employee Referral,2025-06-18 04:54:48,2025-07-30 07:29:39,1391000,1
APP1001385,HCL,Software Developer,B.Tech,Lucknow,6,4,Employee Referral,2025-08-21 07:59:21,2025-09-10 11:59:26,1163000,1
APP1001394,Tech Mahindra,Data Analyst,MCA,Delhi NCR,5,2,Employee Referral,2024-01-04 06:53:34,2024-01-13 02:56:52,1123000,0
APP1000135,TCS,Software Developer,B.Tech,Delhi NCR,5,4,Naukri,2024-06-23 11:10:15,2024-07-16 09:26:51,1175000,0
APP1000903,Wipro,Backend Engineer,B.Tech,Ahmedabad,4,4,Indeed,2025-08-03 09:46:50,2025-09-10 11:59:26,1095000,1
APP1000199,Microsoft,Software Developer,B.Tech,Kolkata,9,4,Naukri,2025-04-26 07:27:56,2025-05-07 03:32:37,1577000,0
